Bakery,Address,Latitude,Longitude,Latitude,Longtitude
ReAnimator Coffee,"1523 E Susquehanna Ave Philadelphia, PA 19125",39.9764555,-75.1270254,,
Pagano's,"1216 W Township Line Rd Drexel Hill, PA 19026",39.9576434,-75.3195987,,
C1 Bakery Cafe,"6610 Castor Ave Philadelphia, PA 19149",40.0424187,-75.0749579,,
Italian Peoples Bakery - Levittown,"1142 Woodbourne Rd Levittown, PA 19056",40.1655797,-74.875999,,
B2,"1500 E Passyunk Ave Philadelphia, PA 19147",39.9308767,-75.1624324,,
Tastykake,"3 Crescent Dr Ste 200 Philadelphia, PA 19112",39.8962095,-75.1741139,,
feine,"812 Fayette St Conshohocken, PA 19428",40.0802691,-75.3003895,,
Founding Farmers First Bake Cafe & Creamery,"255 Main St Ste 180 King of Prussia, PA 19406",40.0833116,-75.4057804,,
Zuzu's Kitchen,"1500 Ridge Ave Philadelphia, PA 19130",39.9679042,-75.1621032,,
Rustica,"903 N 2nd St Philadelphia, PA 19123",39.9642176,-75.1405144,,
Piazza's Bakery,"20 Penn Valley Rd Levittown, PA 19054",40.1714303,-74.8334095,,
Insomnia Cookies,"4319 Main St Philadelphia, PA 19127",40.0252014,-75.2224611,,
Honey Bee Gourmet Deli,"1034 Spruce St Philadelphia, PA 19107",39.9459602,-75.1594404,,
Mary's Gourmet Donut Shoppe,"498 Green Ln Bristol, PA 19007",40.116649,-74.8432808,,
The Coventry Deli,"2000 Market St Philadelphia, PA 19103",39.9532883,-75.1736466,,
The Original Mart Soft Pretzel Bakery,"202 Rt 130 N Cinnaminson, NJ 08077",39.9864119,-75.0099092,,
Cafe Tinto,"143 E Wyoming Ave Philadelphia, PA 19120",40.0215333,-75.1225928,,
Arc Specialty Bakery,"704 Tuckahoe Rd Sewell, NJ 08080",39.7248301,-75.0325932,,
19 Degrees,"1847 Christian St Philadelphia, PA 19146",39.941174,-75.174132,,
Cacia's Bakery,"1010 S Black Horse Pike Blackwood, NJ 08012",39.787891,-75.0578051,,
South Street Philly Bagels,"613 S 3rd St Philadelphia, PA 19147",39.9409875,-75.1474352,,
Mammoth Coffee,"534 W Girard Ave Philadelphia, PA 19123",39.9701339,-75.1464338,,
Germantown Espresso Bar,"6369 Germantown Ave Philadelphia, PA 19144",40.0455016,-75.1818408,,
Insomnia Cookies,"3417 Spruce St Philadelphia, PA 19104",39.9509138,-75.1938738,,
Spread Bagelry,"2401 Walnut St Philadelphia, PA 19103",39.9515389,-75.1798003,,
Shanks Original,"901 S Columbus Blvd Pier 40 Philadelphia, PA 19147",39.9348071,-75.1420536,,
Alif Brew & Mini Mart,"4501 Baltimore Ave Philadelphia, PA 19143",39.9491783,-75.2131497,,
Torch-Wood Cafe,"303 N 3rd St Philadelphia, PA 19106",39.9559464,-75.1442085,,
PrimoHoagies,"1528 W Ritner St Philadelphia, PA 19145",39.9208607,-75.1733465,,
Oregon Steaks,"2654 S 10th St Philadelphia, PA 19148",39.9161532,-75.1646503,,
Celebre Pizzeria,"1536 Packer Ave Philadelphia, PA 19145",39.9113318,-75.1753521,,
Le Bus,"Terminal F Southwest Philadelphia, PA 19153",39.880669,-75.240738,,
The Bagel Place,"404 Queen St Philadelphia, PA 19147",39.9374733,-75.1504451,,
Au Bon Pain,"2951 Market St Philadelphia, PA 19104",39.9557002,-75.182516,,
