"ZIP
Code",erap_fmr_br0,erap_fmr_br1,erap_fmr_br2,erap_fmr_br3,erap_fmr_br4,year,,,
98134,2390,2450,2870,3850,4500,2023,,,
98136,2050,2110,2470,3320,3870,2023,,,
98138,2090,2150,2510,3370,3930,2023,,,
98139,2090,2150,2510,3370,3930,2023,,,
98144,2042,2100,2455,3297,3847,2023,,,
98145,2090,2150,2510,3370,3930,2023,,,
98146,2042,2100,2455,3297,3847,2023,,,
98148,2042,2100,2455,3297,3847,2023,,,
98154,2090,2150,2510,3370,3930,2023,,,
98155,2042,2100,2455,3297,3847,2023,,,
98158,2090,2150,2510,3370,3930,2023,,,
98161,2090,2150,2510,3370,3930,2023,,,
98164,2042,2100,2455,3297,3847,2023,,,
98165,2090,2150,2510,3370,3930,2023,,,
98166,2042,2100,2455,3297,3847,2023,,,
98168,2042,2100,2455,3297,3847,2023,,,
98170,2090,2150,2510,3370,3930,2023,,,
98174,2090,2150,2510,3370,3930,2023,,,
98175,2090,2150,2510,3370,3930,2023,,,
98177,2042,2100,2455,3297,3847,2023,,,
98178,2042,2100,2455,3297,3847,2023,,,
98185,2090,2150,2510,3370,3930,2023,,,
98188,2042,2100,2455,3297,3847,2023,,,
98194,2090,2150,2510,3370,3930,2023,,,
98195,2090,2150,2510,3370,3930,2023,,,
98198,2042,2100,2455,3297,3847,2023,,,
98199,2210,2280,2660,3570,4170,2023,,,
98201,2042,2100,2455,3297,3847,2023,,,
98203,2042,2100,2455,3297,3847,2023,,,
98204,2042,2100,2455,3297,3847,2023,,,
98205,2200,2270,2650,3560,4150,2023,,,
98206,2042,2100,2455,3297,3847,2023,,,
98207,2042,2100,2455,3297,3847,2023,,,
98208,2042,2100,2455,3297,3847,2023,,,
98213,2042,2100,2455,3297,3847,2023,,,
98223,2042,2100,2455,3297,3847,2023,,,
98224,2042,2100,2455,3297,3847,2023,,,
98241,2042,2100,2455,3297,3847,2023,,,
98251,2042,2100,2455,3297,3847,2023,,,
98252,2042,2100,2455,3297,3847,2023,,,
98256,2042,2100,2455,3297,3847,2023,,,
98258,2150,2210,2580,3460,4040,2023,,,
98259,2042,2100,2455,3297,3847,2023,,,
98270,2042,2100,2455,3297,3847,2023,,,
98271,2042,2100,2455,3297,3847,2023,,,
98272,2042,2100,2455,3297,3847,2023,,,
98275,2230,2290,2680,3600,4200,2023,,,
98282,2042,2100,2455,3297,3847,2023,,,
98287,2042,2100,2455,3297,3847,2023,,,
98288,2042,2100,2455,3297,3847,2023,,,
98290,2042,2100,2455,3297,3847,2023,,,
98291,2042,2100,2455,3297,3847,2023,,,
98292,2042,2100,2455,3297,3847,2023,,,
98293,2042,2100,2455,3297,3847,2023,,,
98294,2042,2100,2455,3297,3847,2023,,,
98296,2500,2570,3000,4030,4700,2023,,,
98354,2042,2100,2455,3297,3847,2023,,,
98372,2042,2100,2455,3297,3847,2023,,,
98422,2042,2100,2455,3297,3847,2023,,,
98001,2211,2269,2645,3510,4080,2024,,,
98002,2211,2269,2645,3510,4080,2024,,,
98003,2211,2269,2645,3510,4080,2024,,,
98004,3300,3390,3950,5240,6090,2024,,,
98005,2580,2650,3090,4100,4770,2024,,,
98006,3110,3190,3720,4940,5740,2024,,,
98007,2570,2630,3070,4070,4740,2024,,,
98008,2720,2790,3250,4310,5010,2024,,,
98009,2260,2320,2700,3580,4170,2024,,,
98010,2370,2440,2840,3770,4380,2024,,,
98011,2360,2420,2820,3740,4350,2024,,,
98012,2300,2360,2750,3650,4240,2024,,,
98014,2211,2269,2645,3510,4080,2024,,,
98015,2260,2320,2700,3580,4170,2024,,,
98019,2970,3050,3550,4710,5480,2024,,,
98020,2211,2269,2645,3510,4080,2024,,,
98021,2620,2690,3140,4170,4840,2024,,,
98022,2211,2269,2645,3510,4080,2024,,,
98023,2211,2269,2645,3510,4080,2024,,,
98024,2310,2370,2760,3660,4260,2024,,,
98025,2260,2320,2700,3580,4170,2024,,,
98026,2211,2269,2645,3510,4080,2024,,,
98027,2560,2620,3060,4060,4720,2024,,,
98028,2211,2269,2645,3510,4080,2024,,,
98029,3080,3160,3680,4880,5680,2024,,,
98030,2211,2269,2645,3510,4080,2024,,,
98031,2211,2269,2645,3510,4080,2024,,,
98032,2211,2269,2645,3510,4080,2024,,,
98033,2770,2840,3310,4390,5110,2024,,,
98034,2370,2440,2840,3770,4380,2024,,,
98035,2260,2320,2700,3580,4170,2024,,,
98036,2211,2269,2645,3510,4080,2024,,,
98037,2211,2269,2645,3510,4080,2024,,,
98038,2620,2690,3130,4150,4830,2024,,,
98039,2870,2940,3430,4550,5290,2024,,,
98040,2840,2920,3400,4510,5250,2024,,,
98041,2260,2320,2700,3580,4170,2024,,,
98042,2290,2350,2740,3640,4230,2024,,,
98043,2211,2269,2645,3510,4080,2024,,,
98045,2310,2370,2760,3660,4260,2024,,,
98046,2211,2269,2645,3510,4080,2024,,,
98047,2211,2269,2645,3510,4080,2024,,,
98050,2260,2320,2700,3580,4170,2024,,,
98051,2211,2269,2645,3510,4080,2024,,,
98052,2670,2750,3200,4250,4940,2024,,,
98053,2960,3040,3540,4700,5460,2024,,,
98055,2280,2340,2730,3620,4210,2024,,,
98056,2211,2269,2645,3510,4080,2024,,,
98057,2211,2269,2645,3510,4080,2024,,,
98058,2211,2269,2645,3510,4080,2024,,,
98059,2420,2480,2890,3830,4460,2024,,,
98062,2260,2320,2700,3580,4170,2024,,,
98063,2260,2320,2700,3580,4170,2024,,,
98064,2260,2320,2700,3580,4170,2024,,,
98065,2830,2910,3390,4500,5230,2024,,,
98068,2211,2269,2645,3510,4080,2024,,,
98070,2211,2269,2645,3510,4080,2024,,,
98071,2260,2320,2700,3580,4170,2024,,,
98072,2550,2620,3050,4050,4710,2024,,,
98073,2260,2320,2700,3580,4170,2024,,,
98074,3040,3120,3640,4830,5620,2024,,,
98075,3320,3410,3970,5270,6120,2024,,,
98077,2760,2830,3300,4380,5090,2024,,,
98082,2211,2269,2645,3510,4080,2024,,,
98083,2260,2320,2700,3580,4170,2024,,,
98087,2211,2269,2645,3510,4080,2024,,,
98089,2260,2320,2700,3580,4170,2024,,,
98092,2211,2269,2645,3510,4080,2024,,,
98093,2260,2320,2700,3580,4170,2024,,,
98101,3000,3080,3590,4760,5540,2024,,,
98102,2430,2500,2910,3860,4490,2024,,,
98103,2580,2650,3090,4100,4770,2024,,,
98104,2211,2269,2645,3510,4080,2024,,,
98105,2300,2360,2750,3650,4240,2024,,,
98106,2211,2269,2645,3510,4080,2024,,,
98107,2510,2570,3000,3980,4630,2024,,,
98108,2211,2269,2645,3510,4080,2024,,,
98109,2960,3040,3540,4700,5460,2024,,,
98110,2211,2269,2645,3510,4080,2024,,,
98111,2260,2320,2700,3580,4170,2024,,,
98112,2350,2410,2810,3730,4330,2024,,,
98113,2260,2320,2700,3580,4170,2024,,,
98114,2260,2320,2700,3580,4170,2024,,,
98115,2420,2480,2890,3830,4460,2024,,,
98116,2310,2370,2760,3660,4260,2024,,,
98117,2380,2440,2850,3780,4400,2024,,,
98118,2211,2269,2645,3510,4080,2024,,,
98119,2320,2380,2770,3680,4270,2024,,,
98121,3320,3410,3970,5270,6120,2024,,,
98122,2600,2670,3110,4130,4800,2024,,,
98124,2260,2320,2700,3580,4170,2024,,,
98125,2211,2269,2645,3510,4080,2024,,,
98126,2211,2269,2645,3510,4080,2024,,,
98127,2260,2320,2700,3580,4170,2024,,,
98131,2260,2320,2700,3580,4170,2024,,,
98133,2211,2269,2645,3510,4080,2024,,,
98134,2470,2540,2960,3930,4570,2024,,,
98136,2270,2330,2720,3610,4200,2024,,,
98138,2260,2320,2700,3580,4170,2024,,,
98139,2260,2320,2700,3580,4170,2024,,,
98144,2211,2269,2645,3510,4080,2024,,,
98145,2260,2320,2700,3580,4170,2024,,,
98146,2211,2269,2645,3510,4080,2024,,,
98148,2211,2269,2645,3510,4080,2024,,,
98154,2260,2320,2700,3580,4170,2024,,,
98155,2211,2269,2645,3510,4080,2024,,,
98158,2260,2320,2700,3580,4170,2024,,,
