period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,zipcode
10/1/16,12/31/16,90,zip code,2,40823,f,Zip Code: 98110,,Washington,WA,Single Family Residential,6,699000.0,-0.01340861,-0.048332199,862472.5,0.079439925,0.25359375,279.0031321,-0.027532218,0.031195576,303.2045977,-0.01433671,0.030247066,94.0,-0.12962963,0.220779221,14.0,-0.263157895,-0.066666667,64.0,-0.189873418,0.049180328,59.0,-0.132352941,0.18,,,,40.5,14.0,24.0,0.986042759,-0.001326715,-0.012620799,0.20212766,-0.029353822,-0.0576126,,,,0.285714286,-0.082706767,-0.314285714,"Bremerton, WA",14740,7/15/24 17:39,98110
4/1/21,6/30/21,90,zip code,2,40871,f,Zip Code: 98188,,Washington,WA,Condo/Co-op,3,238944.0,0.019194349,0.034501569,221000.0,-0.078782826,0.105,266.5198238,0.004779736,0.115215027,266.3244037,0.018643423,0.196411167,22.0,0.1,0.571428571,15.0,0.875,1.5,28.0,0.473684211,0.333333333,3.0,0.5,-0.7,,,,7.0,0.0,2.5,1.003684364,-0.006148737,0.000210346,0.409090909,-0.040909091,0.051948052,,,,0.933333333,0.183333333,0.433333333,"Seattle, WA",42644,7/15/24 17:39,98188
2/1/18,4/30/18,90,zip code,2,40831,f,Zip Code: 98118,,Washington,WA,All Residential,-1,613800.0,0.040338983,0.226363825,599000.0,-0.00150025,0.200400802,362.5954198,0.0,0.143318891,357.8684211,0.029113514,0.240748387,147.0,0.27826087,0.080882353,52.0,-0.133333333,-0.054545455,173.0,0.116129032,0.005813953,49.0,0.195121951,0.0,,,,7.5,-1.5,-0.5,1.059976343,0.016179027,0.003827481,0.632653061,0.145696539,0.103241297,,,,0.769230769,-0.080769231,-0.085314685,"Seattle, WA",42644,7/15/24 17:39,98118
5/1/14,7/31/14,90,zip code,2,40854,f,Zip Code: 98155,,Washington,WA,Multi-Family (2-4 Unit),4,337000.0,-0.231470924,0.531818182,,,,146.2765957,-0.014052947,0.02393617,,,,3.0,-0.25,2.0,,,,,,,2.0,-0.5,-0.714285714,,,,262.0,101.0,255.0,0.950295973,-0.012426007,-0.010402717,0.0,0.0,0.0,,,,,,,"Seattle, WA",42644,7/15/24 17:39,98155
5/1/23,7/31/23,90,zip code,2,40828,f,Zip Code: 98115,,Washington,WA,Condo/Co-op,3,450000.0,-0.061032864,-0.054621849,495000.0,0.005076142,0.053191489,499.2867332,0.035126885,-0.065335235,545.4545455,0.097945827,0.025171625,31.0,0.192307692,-0.243902439,15.0,0.666666667,0.153846154,39.0,0.083333333,-0.1875,14.0,-0.176470588,-0.176470588,,,,7.0,-1.5,1.0,1.005914694,0.005129545,-0.050077856,0.322580645,0.014888337,-0.287175452,,,,0.733333333,-0.044444444,0.041025641,"Seattle, WA",42644,7/15/24 17:39,98115
4/1/19,6/30/19,90,zip code,2,40832,f,Zip Code: 98119,,Washington,WA,Single Family Residential,6,1272500.0,0.049484536,0.034552846,1259500.0,-0.027413127,0.053974895,543.4021138,-0.004609212,0.010035817,551.2165031,-0.027690234,0.080563258,62.0,0.441860465,0.347826087,23.0,0.0,0.210526316,78.0,0.012987013,0.21875,28.0,-0.125,0.272727273,,,,8.0,-4.0,0.0,0.998991278,0.005272879,-0.04167281,0.322580645,0.090022506,-0.155680224,,,,0.565217391,-0.173913043,-0.329519451,"Seattle, WA",42644,7/15/24 17:39,98119
4/1/20,6/30/20,90,zip code,2,40823,f,Zip Code: 98110,,Washington,WA,All Residential,-1,856000.0,-0.016091954,-0.045175683,949500.0,0.11443662,-0.026153846,388.2224209,-0.003680096,0.124069521,417.1446736,0.060135289,0.158994761,124.0,0.333333333,-0.243902439,58.0,0.0,0.288888889,160.0,0.01910828,-0.341563786,69.0,-0.067567568,-0.5,,,,10.0,-6.0,-1.0,0.99521843,0.003850077,-0.002188782,0.25,0.01344086,-0.024390244,,,,0.74137931,0.189655172,0.14137931,"Bremerton, WA",14740,7/15/24 17:39,98110
2/1/24,4/30/24,90,zip code,2,40836,f,Zip Code: 98125,,Washington,WA,Townhouse,13,650000.0,-0.133910726,0.007751938,642500.0,0.011811024,-0.055077579,445.7364341,-0.086425208,-0.043812805,457.6972531,-0.020169161,-0.067036705,9.0,0.5,-0.25,7.0,2.5,1.333333333,16.0,0.230769231,0.6,8.0,-0.2,0.333333333,,,,28.0,11.0,-59.0,0.997742644,-0.004994565,0.00449524,0.222222222,-0.111111111,0.222222222,,,,0.571428571,0.071428571,-0.095238095,"Seattle, WA",42644,7/15/24 17:39,98125
4/1/20,6/30/20,90,zip code,2,40823,f,Zip Code: 98110,,Washington,WA,Single Family Residential,6,892000.0,-0.062039958,-0.098078868,998000.0,0.140571429,-0.030126336,383.8049888,-0.015016833,0.156986329,411.4892505,0.070604402,0.157798764,102.0,0.342105263,-0.233082707,52.0,0.106382979,0.333333333,134.0,0.05511811,-0.346341463,52.0,-0.103448276,-0.547826087,,,,8.0,-8.0,-3.0,0.997016367,0.004102899,0.001629387,0.254901961,0.018059856,-0.008255934,,,,0.75,0.218085106,0.185897436,"Bremerton, WA",14740,7/15/24 17:39,98110
3/1/23,5/31/23,90,zip code,2,40831,f,Zip Code: 98118,,Washington,WA,Multi-Family (2-4 Unit),4,680000.0,0.0,-0.042253521,,,,435.8974359,0.0,-0.08802139,,,,1.0,0.0,-0.5,,,,,,,,,,,,,71.0,0.0,62.0,0.883174232,0.0,-0.112063863,0.0,0.0,0.0,,,,,,,"Seattle, WA",42644,7/15/24 17:39,98118
2/1/13,4/30/13,90,zip code,2,40854,f,Zip Code: 98155,,Washington,WA,Condo/Co-op,3,110944.0,-0.306383245,1.273722179,112475.0,0.133277916,0.263764045,131.269841,-0.02607318,0.798541032,137.7009943,0.10858247,0.325952271,10.0,1.0,0.428571429,2.0,-0.6,-0.818181818,20.0,-0.090909091,0.052631579,17.0,0.0625,0.0625,,,,31.0,16.0,-61.0,1.009565713,0.040577416,0.185128263,0.4,0.4,0.4,,,,0.5,0.1,0.227272727,"Seattle, WA",42644,7/15/24 17:39,98155
6/1/14,8/31/14,90,zip code,2,40823,f,Zip Code: 98110,,Washington,WA,Condo/Co-op,3,279000.0,-0.021052632,0.056818182,349500.0,-0.029166667,0.172818792,276.854928,0.084484984,0.263024307,283.3500502,-0.107860415,0.090002133,33.0,0.064516129,0.32,3.0,-0.625,-0.625,23.0,-0.041666667,-0.115384615,15.0,0.25,-0.375,,,,21.0,5.0,-54.5,0.986403682,0.002855048,0.00630899,0.151515152,0.022482893,0.031515152,,,,0.333333333,0.083333333,0.208333333,"Bremerton, WA",14740,7/15/24 17:39,98110
5/1/21,7/31/21,90,zip code,2,40828,f,Zip Code: 98115,,Washington,WA,Condo/Co-op,3,416500.0,-0.003588517,-0.008333333,429500.0,0.047637632,-0.115345005,447.6007984,0.07666138,-0.115988423,473.3527473,0.043329042,-0.052892408,36.0,0.028571429,0.44,15.0,0.363636364,0.25,40.0,0.0,0.111111111,11.0,-0.214285714,-0.214285714,,,,7.0,0.0,0.0,1.027078023,0.008849754,0.02865699,0.527777778,0.042063492,0.287777778,,,,0.733333333,-0.084848485,0.233333333,"Seattle, WA",42644,7/15/24 17:39,98115
7/1/19,9/30/19,90,zip code,2,40815,f,Zip Code: 98102,,Washington,WA,Townhouse,13,905000.0,0.0,-0.047368421,1077000.0,0.001860465,0.080240722,547.8208232,-0.075639041,-0.191141058,633.0566905,0.020867718,-0.009264323,9.0,-0.4,-0.4,5.0,0.666666667,1.5,16.0,0.230769231,-0.2,12.0,0.0,0.0,,,,19.5,0.5,7.5,0.977027259,-0.012634374,-0.022584549,0.0,-0.066666667,-0.333333333,,,,0.6,-0.066666667,0.1,"Seattle, WA",42644,7/15/24 17:39,98102
11/1/13,1/31/14,90,zip code,2,40843,f,Zip Code: 98134,,Washington,WA,All Residential,-1,230000.0,-0.730994152,0.124694377,199900.0,-0.091157081,-0.000250063,200.0,-0.662222222,0.147414693,186.6479925,-0.024118248,-0.000250063,3.0,0.0,0.5,,,,3.0,0.0,2.0,3.0,0.5,0.5,,,,5.0,-77.0,-175.0,0.981736057,0.023721831,0.017541826,0.666666667,0.333333333,0.666666667,,,,,,,"Seattle, WA",42644,7/15/24 17:39,98134
7/1/23,9/30/23,90,zip code,2,40828,f,Zip Code: 98115,,Washington,WA,Condo/Co-op,3,447500.0,-0.016483516,-0.043803419,450000.0,-0.029126214,-0.1,523.6013986,0.024842595,0.025182178,501.0321988,-0.063656216,0.043817081,38.0,0.027027027,-0.025641026,11.0,-0.153846154,-0.153846154,43.0,-0.065217391,-0.156862745,16.0,-0.157894737,0.066666667,,,,5.5,-1.5,-3.5,1.008197921,0.003295805,0.009357236,0.394736842,0.070412518,0.138326586,,,,0.545454545,-0.146853147,-0.223776224,"Seattle, WA",42644,7/15/24 17:39,98115
7/1/15,9/30/15,90,zip code,2,40825,f,Zip Code: 98112,,Washington,WA,All Residential,-1,890000.0,0.008498584,0.133072345,924900.0,0.156126445,0.051022727,447.3684211,0.006832175,0.182022713,429.1666667,0.01220429,0.115957329,95.0,-0.166666667,-0.010416667,23.0,-0.041666667,-0.206896552,93.0,0.04494382,-0.079207921,43.0,0.228571429,-0.245614035,,,,10.0,1.0,1.0,1.04422527,0.013327389,0.02851616,0.505263158,0.057894737,0.109429825,,,,0.782608696,0.157608696,0.196401799,"Seattle, WA",42644,7/15/24 17:39,98112
